B01001_001E,B01001_002E,B01001_026E,B01002_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B19301_001E,B17001_002E,B23025_003E,B23025_005E,B25077_001E,B25002_002E,B25014_001E,B25003_002E,B25003_003E,B18101_001E,B18101_002E,B18101_003E,B18101_004E,state
2988762,1450379,1538383,37.2,1967314,266274,116055,27736,19112,43567,23434,599795,1338573,110036,114500,1105576,1105576,754018,351558,2922647,1399224,95968,723,28
6090062,2988772,3101290,38.5,4124838,729543,329182,72419,49939,53560,29537,837930,3044052,155958,151600,2396271,2396271,1601845,794426,5976738,2913804,191177,1324,29
1041732,524220,517512,39.8,714267,148624,52011,13166,9069,52559,29765,139063,529682,22433,219600,423240,423240,286553,136687,1026586,514183,32041,472,30
1904760,949910,954850,36.4,1242463,258291,92723,21949,16253,59116,31101,213790,1030381,36545,147800,754063,754063,498567,255496,1875468,932067,67854,458,31
2922849,1467165,1455684,37.9,2001450,317510,116743,32676,18419,57598,29961,393431,1472351,101748,242400,1075930,1075930,600520,475410,2887475,1439031,93316,1321,32
1343622,664983,678639,42.7,952115,213277,101226,19032,13890,74057,38548,102352,754409,30392,252800,528078,528078,374758,153320,1326243,654437,32777,412,33
8881845,4335930,4545915,39.8,6129542,1457910,671274,158342,96530,79363,40895,904132,4675686,285084,327900,3213362,3213362,2054413,1158949,8776839,4265444,266146,1746,34
2092434,1035850,1056584,37.5,1394280,213129,116002,23589,25476,48059,26085,410389,951105,68370,166800,775651,775651,524242,251409,2057526,1008154,65489,793,35
19618453,9519555,10098898,38.7,13606342,2748577,1541679,390755,207127,65323,37470,2797985,10047659,602636,302200,7316537,7316537,3943356,3373181,19378618,9362892,594981,3550,36
10155624,4944759,5210865,38.6,6881774,1345846,543580,116857,92923,52413,29456,1523949,4978432,312610,165900,3918597,3918597,2548705,1369892,9952031,4786233,308596,2621,37
752201,386183,366018,35.1,490233,105552,26902,6962,4980,63473,35373,79270,412530,11689,185000,314903,314903,197347,117556,736241,376144,26850,187,38
11641879,5703967,5937912,39.3,7937085,1370810,613112,133086,88562,54533,30304,1645986,5892809,343232,140000,4654075,4654075,3071227,1582848,11468700,5597255,356158,2826,39
3918137,1941576,1976561,36.4,2574001,428829,157907,36285,25049,51424,27432,607810,1860415,99087,130900,1474620,1474620,967038,507582,3837568,1882321,135147,1434,40
4081943,2023021,2058922,39.2,2850693,583144,247490,62012,45171,59393,32045,565247,2058128,123485,287300,1591835,1591835,985523,606312,4042073,1993496,118970,1192,41
12791181,6263189,6527992,40.7,8921363,1661705,774543,177901,131168,59445,32889,1578949,6531763,379765,174100,5025132,5025132,3467467,1557665,12587979,6129081,363071,2578,42
