B01001_001E,B01001_002E,B01001_026E,B01002_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B19301_001E,B17001_002E,B23025_003E,B23025_005E,B25077_001E,B25002_002E,B25014_001E,B25003_002E,B25003_003E,B18101_001E,B18101_002E,B18101_003E,B18101_004E,state
1056611,513332,543279,39.9,733188,145595,69830,15651,12888,63296,34619,133055,562451,34479,249800,410885,410885,247565,163320,1040879,504116,28137,280,44
4955925,2405726,2550199,39.2,3385002,588965,250813,51051,36994,51015,27986,770632,2380549,153242,154800,1894711,1894711,1305349,589362,4858485,2331404,147614,1104,45
864289,435761,428528,36.8,567083,112426,34166,8813,6072,56499,29801,113144,459025,16252,159100,341565,341565,232636,108929,846821,424905,30971,423,46
6651089,3243678,3407411,38.7,4530706,762299,311861,76858,55033,50972,28511,1046508,3239353,191544,158600,2567061,2567061,1701159,865902,6547663,3170888,206063,1904,47
27885195,13849775,14035420,34.4,17815359,3409836,1321019,287320,201294,59570,30143,4213938,13728630,743006,161700,9553046,9553046,5917771,3635275,27417645,13487341,1022206,8999,48
624977,307973,317004,42.9,439695,97034,47484,11287,8301,60076,33238,67034,342620,13878,223700,259589,259589,183570,76019,618896,304575,15391,156,50
3045350,1532768,1512582,30.7,1782065,391237,144145,32078,25200,68374,28239,309904,1510998,58958,256700,957619,957619,668985,288634,3019579,1513623,129490,1047,49
8413774,4138574,4275200,38.1,5730352,1244489,692598,144150,105626,71564,37763,893580,4336393,217670,264900,3128415,3128415,2070879,1057536,8197642,3969711,262117,2156,51
7294336,3645665,3648671,37.6,5001943,1104621,471410,109253,77977,70116,36888,821621,3712186,198330,311700,2800423,2800423,1756552,1043871,7187395,3565128,232133,1836,53
1829054,904196,924858,42.4,1292084,158032,75727,16213,11778,44921,25479,315464,796365,53750,115000,734676,734676,535880,198796,1800270,885577,51051,371,54
5778394,2872376,2906018,39.3,3930889,762210,285851,66358,46071,59209,32018,668220,3089332,124792,173600,2343129,2343129,1568040,775089,5706206,2823433,172146,1185,55
581836,296979,284857,37.3,389291,67697,26978,5489,4513,62268,32295,63311,304648,13685,213300,230630,230630,160121,70509,571923,290180,19089,251,56
3386941,1612865,1774076,40.9,2364398,428310,117015,28907,25096,20166,12451,1495160,1238450,209950,113500,1205075,1205075,820405,384670,3361571,1594465,80711,895,72
4864680,2355799,2508881,38.9,3299958,515443,221842,50429,34881,48486,26846,829400,2224606,147898,137200,1860269,1860269,1275223,585046,4785040,2299032,149151,1001,01
738516,385579,352937,34.0,477727,88053,36794,9506,5292,76715,35874,77865,379219,28067,265200,253462,253462,162172,91290,714106,365014,27593,322,02
6946685,3453439,3493246,37.4,4633932,835120,362611,83023,57317,56213,29265,1092192,3256192,210214,209600,2524300,2524300,1606065,918235,6838270,3361961,222876,2179,04
2990671,1468412,1522259,37.9,1999307,288720,115355,27579,19967,45726,25635,510337,1368037,75774,123300,1152175,1152175,756431,395744,2937135,1432567,97623,1142,05
39148760,19453769,19694991,36.3,26218885,5445781,2222636,627892,422428,71228,35021,5487141,19630514,1321502,475900,12965435,12965435,7085435,5880000,38653948,19066676,1268788,9049,06
5531141,2780831,2750310,36.6,3748592,944470,409786,87493,63143,68811,36415,590504,2978700,139326,313600,2113387,2113387,1371145,742242,5439267,2709916,171155,1302,08
949495,459570,489925,40.2,659979,120794,62275,12399,11764,65627,33989,109798,479447,28501,244700,357765,357765,254308,103457,934743,448772,27813,195,10
684498,324881,359617,33.9,486981,118817,100571,40220,20741,82604,53321,109497,398567,29373,568400,281322,281322,117571,163751,674258,316869,22724,196,11
3581504,1747131,1834373,40.8,2478708,538924,309751,74380,42172,76106,43056,348449,1936354,125909,272700,1367374,1367374,907134,460240,3530088,1714250,94768,854,09
20598139,10071925,10526214,41.9,14686727,2721635,1081844,310270,169708,53267,30197,2983851,9876910,622978,196800,7621760,7621760,4954601,2667159,20288268,9838027,570515,4791,12
10297484,5012229,5285255,36.5,6786547,1282947,564866,142787,89516,55679,29523,1607714,5043919,322854,166800,3709488,3709488,2339981,1369507,10109427,4861434,335166,2964,13
1687809,845564,842245,36.1,1089266,198648,65700,15775,13146,53089,26772,228882,806373,37672,192300,618331,618331,428300,190031,1666375,829636,57933,550,16
1422029,713772,708257,38.9,988367,212053,72121,22668,14154,78084,34035,137516,709482,32036,587700,456782,456782,266362,190420,1370508,671256,46480,249,15
12821497,6295915,6525582,37.9,8682343,1801833,847698,194142,114118,63575,34463,1635603,6663103,437139,187200,4830038,4830038,3189035,1641003,12643207,6178327,397419,2674,17
6637426,3271068,3366358,37.6,4399815,727108,304487,62892,45421,54325,28461,908359,3345383,180969,135400,2553818,2553818,1760732,793086,6538540,3207202,214555,1400,18
3132499,1554481,1578018,38.1,2081373,395820,132751,33970,24476,58580,31085,353634,1674697,65216,142300,1256855,1256855,894152,362703,3088842,1530174,100506,773,19
2908776,1449413,1459363,36.5,1894675,394462,168742,36091,23781,57422,30757,350280,1493698,65038,145400,1124549,1124549,745845,378704,2849329,1407001,99290,1203,20
4440204,2186715,2253489,38.7,3004004,415937,211163,53145,29358,48392,26948,772080,2087800,128358,135300,1728681,1728681,1157631,571050,4357195,2128638,141232,1435,21
4663616,2279968,2383648,36.6,3107941,483170,173858,51432,29133,47942,27027,878394,2180965,149850,157800,1736021,1736021,1133084,602937,4559274,2197612,157354,1085,22
1332813,652299,680514,44.6,967897,190172,78014,18281,12812,55425,31253,161743,697391,32203,184500,556955,556955,402119,154836,1317634,643383,33208,263,23
6003435,2910323,3093112,38.6,4114858,877641,522662,124561,105701,81868,40517,553496,3232422,181089,305500,2192518,2192518,1463941,728577,5907173,2841214,186839,952,24
6830193,3313979,3516214,39.4,4748795,1128877,637628,141903,129294,77378,41794,710305,3773721,203464,366800,2601914,2601914,1621053,980861,6756015,3269887,185470,1630,25
9957488,4899118,5058370,39.7,6772215,1179677,559642,118563,79170,54938,30336,1457008,4919495,321008,146200,3909509,3909509,2777114,1132395,9847464,4823381,293072,2550,26
5527358,2751748,2775610,37.9,3731762,871363,315403,81713,54303,68411,36245,547442,3050676,119218,211800,2167801,2167801,1551290,616511,5469389,2718477,179870,1403,27
