B01001_001E,B01001_002E,B01001_026E,B01002_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B19301_001E,B17001_002E,B23025_003E,B23025_005E,B25077_001E,B25002_002E,B25014_001E,B25003_002E,B25003_003E,B18101_001E,B18101_002E,B18101_003E,B18101_004E,state
1445635,727473,718162,40.6,1027351,230641,89317,27515,16925,98317,44823,140461,703472,35378,808200,488991,488991,305869,183122,1386108,679460,42350,207,15
1893296,952080,941216,37.1,1244319,258838,91217,21392,16585,74636,37169,196060,930589,34229,376000,693821,693821,502140,191681,1866785,934050,57953,386,16
12692653,6270399,6422254,38.9,8738607,1949199,952141,214504,133650,81702,45104,1454217,6638033,384790,250500,5001904,5001904,3343034,1658870,12522498,6158033,362371,2178,17
6811752,3377011,3434741,38.0,4559304,835437,351821,70656,55172,70051,37178,807582,3451448,148579,201600,2681537,2681537,1886485,795052,6714911,3316037,211427,1859,18
3195937,1601453,1594484,38.6,2140476,441400,154288,36061,28870,73147,39728,340362,1691052,61411,195900,1303763,1303763,932618,371145,3149616,1575754,96761,699,19
2937569,1473655,1463914,37.2,1933293,425528,188358,38098,27680,72639,39638,328475,1513914,59154,203400,1160715,1160715,776311,384404,2875799,1429687,92412,763,20
4510725,2233870,2276855,39.1,3078157,489842,245008,60045,35961,62417,34960,707480,2136157,103267,192300,1791991,1791991,1223574,568417,4429333,2177634,137243,1200,21
4621025,2262822,2358203,37.8,3110254,521668,210724,57559,35843,60023,34211,848769,2148961,135734,208700,1783168,1783168,1200407,582761,4523071,2185543,147818,1367,22
1377400,678363,699037,44.8,1016630,223713,95805,23323,16482,71773,42035,144263,716296,28048,266400,589085,589085,436029,153056,1359807,668460,32281,241,23
6170738,3002079,3168659,39.3,4272813,959925,607433,135295,123392,101652,51689,564966,3296039,162773,397700,2339510,2339510,1578702,760808,6079418,2938305,182914,961,24
6992395,3416765,3575630,40.0,4945630,1249640,739993,155415,160851,101341,56284,676516,3886902,199882,525800,2762070,2762070,1728986,1033084,6926890,3379196,179662,1333,25
10051595,4982079,5069516,40.1,6967452,1343511,643070,133714,92809,71149,39538,1284470,5002850,290715,217600,4040168,4040168,2946157,1094011,9944298,4908227,281634,1834,26
5713716,2862134,2851582,38.6,3897590,984748,373798,91034,63794,87556,46957,514300,3111680,122323,305500,2282967,2282967,1652534,630433,5652888,2828256,173063,1371,27
2951438,1431521,1519917,38.4,1970298,290133,133964,29386,22514,54915,30529,543697,1326878,79706,161400,1131760,1131760,786289,345471,2884445,1382097,91013,888,28
