Total Population,Male Population,Female Population,Median Age,Population 25+ (Total),Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,Median Household Income,Per Capita Income,Individuals Below Poverty,Civilian Labor Force,Unemployed Persons,Median Home Value,Total Housing Units,Occupied Housing Units (Total),Owner-Occupied Housing Units,Renter-Occupied Housing Units,Total Noninstitutionalized Population (16+),Population With Any Disability,Population With Hearing Difficulty,Population With Vision Difficulty,state,state_abbrev,Male (%) of Population,Female (%) of Population,(%) of Population 25+,(%) with Bachelor's Degree,(%) with Master's Degree,(%) with Doctorate Degree,(%) with Professional Degree,Bachelors+ (%),(%) of Population below Poverty,(%) of Unemployed Persons,Employed Persons,Employment Rate,Home Ownership Rate (%),Renting Rate (%),Disability Rate (%)
2988762,1450379,1538383,37.2,1967314,266274,116055,27736,19112,43567,23434,599795,1338573,110036,114500,1105576,1105576,754018,351558,2922647,1399224,95968,723,28,MS,48.53,51.47,65.82,13.53,5.9,0.97,1.41,21.82,30.49,5.59,1857278,138.75,68.2,31.8,46.81617338550209
6090062,2988772,3101290,38.5,4124838,729543,329182,72419,49939,53560,29537,837930,3044052,155958,151600,2396271,2396271,1601845,794426,5976738,2913804,191177,1324,29,MO,49.08,50.92,67.73,17.69,7.98,1.21,1.76,28.63,20.31,3.78,3968880,130.38,66.85,33.15,47.84522719144731
1041732,524220,517512,39.8,714267,148624,52011,13166,9069,52559,29765,139063,529682,22433,219600,423240,423240,286553,136687,1026586,514183,32041,472,30,MT,50.32,49.68,68.57,20.81,7.28,1.27,1.84,31.2,19.47,3.14,691834,130.61,67.7,32.3,49.35847223662132
1904760,949910,954850,36.4,1242463,258291,92723,21949,16253,59116,31101,213790,1030381,36545,147800,754063,754063,498567,255496,1875468,932067,67854,458,31,NE,49.87,50.13,65.23,20.79,7.46,1.31,1.77,31.33,17.21,2.94,1205918,117.04,66.12,33.88,48.93356643356643
2922849,1467165,1455684,37.9,2001450,317510,116743,32676,18419,57598,29961,393431,1472351,101748,242400,1075930,1075930,600520,475410,2887475,1439031,93316,1321,32,NV,50.2,49.8,68.48,15.86,5.83,0.92,1.63,24.25,19.66,5.08,1899702,129.03,55.81,44.19,49.23384683916275
1343622,664983,678639,42.7,952115,213277,101226,19032,13890,74057,38548,102352,754409,30392,252800,528078,528078,374758,153320,1326243,654437,32777,412,33,NH,49.49,50.51,70.86,22.4,10.63,1.46,2.0,36.49,10.75,3.19,921723,122.18,70.97,29.03,48.7069279901639
8881845,4335930,4545915,39.8,6129542,1457910,671274,158342,96530,79363,40895,904132,4675686,285084,327900,3213362,3213362,2054413,1158949,8776839,4265444,266146,1746,34,NJ,48.82,51.18,69.01,23.78,10.95,1.57,2.58,38.89,14.75,4.65,5844458,125.0,63.93,36.07,48.02430125722753
2092434,1035850,1056584,37.5,1394280,213129,116002,23589,25476,48059,26085,410389,951105,68370,166800,775651,775651,524242,251409,2057526,1008154,65489,793,35,NM,49.5,50.5,66.63,15.29,8.32,1.83,1.69,27.12,29.43,4.9,1325910,139.41,67.59,32.41,48.18092231343976
19618453,9519555,10098898,38.7,13606342,2748577,1541679,390755,207127,65323,37470,2797985,10047659,602636,302200,7316537,7316537,3943356,3373181,19378618,9362892,594981,3550,36,NY,48.52,51.48,69.35,20.2,11.33,1.52,2.87,35.93,20.56,4.43,13003706,129.42,53.9,46.1,47.72492509985369
10155624,4944759,5210865,38.6,6881774,1345846,543580,116857,92923,52413,29456,1523949,4978432,312610,165900,3918597,3918597,2548705,1369892,9952031,4786233,308596,2621,37,NC,48.69,51.31,67.76,19.56,7.9,1.35,1.7,30.5,22.14,4.54,6569164,131.95,65.04,34.96,47.12889134138877
752201,386183,366018,35.1,490233,105552,26902,6962,4980,63473,35373,79270,412530,11689,185000,314903,314903,197347,117556,736241,376144,26850,187,38,ND,51.34,48.66,65.17,21.53,5.49,1.02,1.42,29.45,16.17,2.38,478544,116.0,62.67,37.33,50.00578302873833
11641879,5703967,5937912,39.3,7937085,1370810,613112,133086,88562,54533,30304,1645986,5892809,343232,140000,4654075,4654075,3071227,1582848,11468700,5597255,356158,2826,39,OH,49.0,51.0,68.18,17.27,7.72,1.12,1.68,27.79,20.74,4.32,7593853,128.87,65.99,34.01,48.078622016257
3918137,1941576,1976561,36.4,2574001,428829,157907,36285,25049,51424,27432,607810,1860415,99087,130900,1474620,1474620,967038,507582,3837568,1882321,135147,1434,40,OK,49.55,50.45,65.69,16.66,6.13,0.97,1.41,25.18,23.61,3.85,2474914,133.03,65.58,34.42,48.0412246942871
4081943,2023021,2058922,39.2,2850693,583144,247490,62012,45171,59393,32045,565247,2058128,123485,287300,1591835,1591835,985523,606312,4042073,1993496,118970,1192,41,OR,49.56,50.44,69.84,20.46,8.68,1.58,2.18,32.9,19.83,4.33,2727208,132.51,61.91,38.09,48.83693868336721
12791181,6263189,6527992,40.7,8921363,1661705,774543,177901,131168,59445,32889,1578949,6531763,379765,174100,5025132,5025132,3467467,1557665,12587979,6129081,363071,2578,42,PA,48.96,51.04,69.75,18.63,8.68,1.47,1.99,30.77,17.7,4.26,8541598,130.77,69.0,31.0,47.91645900405913
1056611,513332,543279,39.9,733188,145595,69830,15651,12888,63296,34619,133055,562451,34479,249800,410885,410885,247565,163320,1040879,504116,28137,280,44,RI,48.58,51.42,69.39,19.86,9.52,1.76,2.13,33.27,18.15,4.7,698709,124.23,60.25,39.75,47.71065226464612
4955925,2405726,2550199,39.2,3385002,588965,250813,51051,36994,51015,27986,770632,2380549,153242,154800,1894711,1894711,1305349,589362,4858485,2331404,147614,1104,45,SC,48.54,51.46,68.3,17.4,7.41,1.09,1.51,27.41,22.77,4.53,3231760,135.76,68.89,31.11,47.04276194655891
864289,435761,428528,36.8,567083,112426,34166,8813,6072,56499,29801,113144,459025,16252,159100,341565,341565,232636,108929,846821,424905,30971,423,46,SD,50.42,49.58,65.61,19.83,6.02,1.07,1.55,28.48,19.95,2.87,550831,120.0,68.11,31.89,49.16237508518563
6651089,3243678,3407411,38.7,4530706,762299,311861,76858,55033,50972,28511,1046508,3239353,191544,158600,2567061,2567061,1701159,865902,6547663,3170888,206063,1904,47,TN,48.77,51.23,68.12,16.83,6.88,1.21,1.7,26.62,23.1,4.23,4339162,133.95,66.27,33.73,47.674719132460865
27885195,13849775,14035420,34.4,17815359,3409836,1321019,287320,201294,59570,30143,4213938,13728630,743006,161700,9553046,9553046,5917771,3635275,27417645,13487341,1022206,8999,48,TX,49.67,50.33,63.89,19.14,7.42,1.13,1.61,29.3,23.65,4.17,17072353,124.36,61.95,38.05,48.367389935770575
624977,307973,317004,42.9,439695,97034,47484,11287,8301,60076,33238,67034,342620,13878,223700,259589,259589,183570,76019,618896,304575,15391,156,50,VT,49.28,50.72,70.35,22.07,10.8,1.89,2.57,37.32,15.25,3.16,425817,124.28,70.72,29.28,48.733793403597254
3045350,1532768,1512582,30.7,1782065,391237,144145,32078,25200,68374,28239,309904,1510998,58958,256700,957619,957619,668985,288634,3019579,1513623,129490,1047,49,UT,50.33,49.67,58.52,21.95,8.09,1.41,1.8,33.26,17.39,3.31,1723107,114.04,69.86,30.14,49.70275994549066
8413774,4138574,4275200,38.1,5730352,1244489,692598,144150,105626,71564,37763,893580,4336393,217670,264900,3128415,3128415,2070879,1057536,8197642,3969711,262117,2156,51,VA,49.19,50.81,68.11,21.72,12.09,1.84,2.52,38.16,15.59,3.8,5512682,127.13,66.2,33.8,47.181098517740075
7294336,3645665,3648671,37.6,5001943,1104621,471410,109253,77977,70116,36888,821621,3712186,198330,311700,2800423,2800423,1756552,1043871,7187395,3565128,232133,1836,53,WA,49.98,50.02,68.57,22.08,9.42,1.56,2.18,35.25,16.43,3.97,4803613,129.4,62.72,37.28,48.87529173320231
1829054,904196,924858,42.4,1292084,158032,75727,16213,11778,44921,25479,315464,796365,53750,115000,734676,734676,535880,198796,1800270,885577,51051,371,54,WV,49.44,50.56,70.64,12.23,5.86,0.91,1.25,20.26,24.42,4.16,1238334,155.5,72.94,27.06,48.41721458196423
5778394,2872376,2906018,39.3,3930889,762210,285851,66358,46071,59209,32018,668220,3089332,124792,173600,2343129,2343129,1568040,775089,5706206,2823433,172146,1185,55,WI,49.71,50.29,68.03,19.39,7.27,1.17,1.69,29.52,17.0,3.17,3806097,123.2,66.92,33.08,48.8618983059999
581836,296979,284857,37.3,389291,67697,26978,5489,4513,62268,32295,63311,304648,13685,213300,230630,230630,160121,70509,571923,290180,19089,251,56,WY,51.04,48.96,66.91,17.39,6.93,1.16,1.41,26.89,16.26,3.52,375606,123.29,69.43,30.57,49.873160134470886
3386941,1612865,1774076,40.9,2364398,428310,117015,28907,25096,20166,12451,1495160,1238450,209950,113500,1205075,1205075,820405,384670,3361571,1594465,80711,895,72,PR,47.62,52.38,69.81,18.11,4.95,1.06,1.22,25.35,63.24,8.88,2154448,173.96,68.08,31.92,47.07684603894783
4864680,2355799,2508881,38.9,3299958,515443,221842,50429,34881,48486,26846,829400,2224606,147898,137200,1860269,1860269,1275223,585046,4785040,2299032,149151,1001,1,AL,48.43,51.57,67.84,15.62,6.72,1.06,1.53,24.93,25.13,4.48,3152060,141.69,68.55,31.45,47.25967586768297
738516,385579,352937,34.0,477727,88053,36794,9506,5292,76715,35874,77865,379219,28067,265200,253462,253462,162172,91290,714106,365014,27593,322,2,AK,52.21,47.79,64.69,18.43,7.7,1.11,1.99,29.23,16.3,5.88,449660,118.58,63.98,36.02,49.425334048280604
6946685,3453439,3493246,37.4,4633932,835120,362611,83023,57317,56213,29265,1092192,3256192,210214,209600,2524300,2524300,1606065,918235,6838270,3361961,222876,2179,4,AZ,49.71,50.29,66.71,18.02,7.83,1.24,1.79,28.88,23.57,4.54,4423718,135.86,63.62,36.38,48.396623713325134
2990671,1468412,1522259,37.9,1999307,288720,115355,27579,19967,45726,25635,510337,1368037,75774,123300,1152175,1152175,756431,395744,2937135,1432567,97623,1142,5,AR,49.1,50.9,66.85,14.44,5.77,1.0,1.38,22.59,25.53,3.79,1923533,140.61,65.65,34.35,47.90119006737953
39148760,19453769,19694991,36.3,26218885,5445781,2222636,627892,422428,71228,35021,5487141,19630514,1321502,475900,12965435,12965435,7085435,5880000,38653948,19066676,1268788,9049,6,CA,49.69,50.31,66.97,20.77,8.48,1.61,2.39,33.25,20.93,5.04,24897383,126.83,54.65,45.35,48.70314155544135
5531141,2780831,2750310,36.6,3748592,944470,409786,87493,63143,68811,36415,590504,2978700,139326,313600,2113387,2113387,1371145,742242,5439267,2709916,171155,1302,8,CO,50.28,49.72,67.77,25.2,10.93,1.68,2.33,40.15,15.75,3.72,3609266,121.17,64.88,35.12,48.99379712070258
949495,459570,489925,40.2,659979,120794,62275,12399,11764,65627,33989,109798,479447,28501,244700,357765,357765,254308,103457,934743,448772,27813,195,10,DE,48.4,51.6,69.51,18.3,9.44,1.78,1.88,31.4,16.64,4.32,631478,131.71,71.08,28.92,47.264282592325394
684498,324881,359617,33.9,486981,118817,100571,40220,20741,82604,53321,109497,398567,29373,568400,281322,281322,117571,163751,674258,316869,22724,196,11,DC,47.46,52.54,71.14,24.4,20.65,4.26,8.26,57.57,22.48,6.03,457608,114.81,41.79,58.21,46.292173242288506
3581504,1747131,1834373,40.8,2478708,538924,309751,74380,42172,76106,43056,348449,1936354,125909,272700,1367374,1367374,907134,460240,3530088,1714250,94768,854,9,CT,48.78,51.22,69.21,21.74,12.5,1.7,3.0,38.94,14.06,5.08,2352799,121.51,66.34,33.66,47.86396999696217
20598139,10071925,10526214,41.9,14686727,2721635,1081844,310270,169708,53267,30197,2983851,9876910,622978,196800,7621760,7621760,4954601,2667159,20288268,9838027,570515,4791,12,FL,48.9,51.1,71.3,18.53,7.37,1.16,2.11,29.17,20.32,4.24,14063749,142.39,65.01,34.99,47.76172740653901
10297484,5012229,5285255,36.5,6786547,1282947,564866,142787,89516,55679,29523,1607714,5043919,322854,166800,3709488,3709488,2339981,1369507,10109427,4861434,335166,2964,13,GA,48.67,51.33,65.9,18.9,8.32,1.32,2.1,30.65,23.69,4.76,6463693,128.15,63.08,36.92,47.20992040385787
1687809,845564,842245,36.1,1089266,198648,65700,15775,13146,53089,26772,228882,806373,37672,192300,618331,618331,428300,190031,1666375,829636,57933,550,16,ID,50.1,49.9,64.54,18.24,6.03,1.21,1.45,26.92,21.01,3.46,1051594,130.41,69.27,30.73,49.15461405881827
1422029,713772,708257,38.9,988367,212053,72121,22668,14154,78084,34035,137516,709482,32036,587700,456782,456782,266362,190420,1370508,671256,46480,249,15,HI,50.19,49.81,69.5,21.45,7.3,1.43,2.29,32.48,13.91,3.24,956331,134.79,58.31,41.69,47.20410061960762
12821497,6295915,6525582,37.9,8682343,1801833,847698,194142,114118,63575,34463,1635603,6663103,437139,187200,4830038,4830038,3189035,1641003,12643207,6178327,397419,2674,17,IL,49.1,50.9,67.72,20.75,9.76,1.31,2.24,34.07,18.84,5.03,8245204,123.74,66.03,33.97,48.187251457454614
6637426,3271068,3366358,37.6,4399815,727108,304487,62892,45421,54325,28461,908359,3345383,180969,135400,2553818,2553818,1760732,793086,6538540,3207202,214555,1400,18,IN,49.28,50.72,66.29,16.53,6.92,1.03,1.43,25.91,20.65,4.11,4218846,126.11,68.95,31.05,48.31996620376634
3132499,1554481,1578018,38.1,2081373,395820,132751,33970,24476,58580,31085,353634,1674697,65216,142300,1256855,1256855,894152,362703,3088842,1530174,100506,773,19,IA,49.62,50.38,66.44,19.02,6.38,1.18,1.63,28.2,16.99,3.13,2016157,120.39,71.14,28.86,48.84834759723786
2908776,1449413,1459363,36.5,1894675,394462,168742,36091,23781,57422,30757,350280,1493698,65038,145400,1124549,1124549,745845,378704,2849329,1407001,99290,1203,20,KS,49.83,50.17,65.14,20.82,8.91,1.26,1.9,32.89,18.49,3.43,1829637,122.49,66.32,33.68,48.37089552444052
4440204,2186715,2253489,38.7,3004004,415937,211163,53145,29358,48392,26948,772080,2087800,128358,135300,1728681,1728681,1157631,571050,4357195,2128638,141232,1435,21,KY,49.25,50.75,67.65,13.85,7.03,0.98,1.77,23.62,25.7,4.27,2875646,137.74,66.97,33.03,47.940094644300125
4663616,2279968,2383648,36.6,3107941,483170,173858,51432,29133,47942,27027,878394,2180965,149850,157800,1736021,1736021,1133084,602937,4559274,2197612,157354,1085,22,LA,48.89,51.11,66.64,15.55,5.59,0.94,1.65,23.73,28.26,4.82,2958091,135.63,65.27,34.73,47.1224903594121
1332813,652299,680514,44.6,967897,190172,78014,18281,12812,55425,31253,161743,697391,32203,184500,556955,556955,402119,154836,1317634,643383,33208,263,23,ME,48.94,51.06,72.62,19.65,8.06,1.32,1.89,30.92,16.71,3.33,935694,134.17,72.2,27.8,48.2725633678543
6003435,2910323,3093112,38.6,4114858,877641,522662,124561,105701,81868,40517,553496,3232422,181089,305500,2192518,2192518,1463941,728577,5907173,2841214,186839,952,24,MD,48.48,51.52,68.54,21.33,12.7,2.57,3.03,39.63,13.45,4.4,3933769,121.7,66.77,33.23,47.32647226129708
6830193,3313979,3516214,39.4,4748795,1128877,637628,141903,129294,77378,41794,710305,3773721,203464,366800,2601914,2601914,1621053,980861,6756015,3269887,185470,1630,25,MA,48.52,51.48,69.53,23.77,13.43,2.72,2.99,42.91,14.96,4.28,4545331,120.45,62.3,37.7,47.87400590290787
9957488,4899118,5058370,39.7,6772215,1179677,559642,118563,79170,54938,30336,1457008,4919495,321008,146200,3909509,3909509,2777114,1132395,9847464,4823381,293072,2550,26,MI,49.2,50.8,68.01,17.42,8.26,1.17,1.75,28.6,21.51,4.74,6451207,131.14,71.03,28.97,48.43973700997681
5527358,2751748,2775610,37.9,3731762,871363,315403,81713,54303,68411,36245,547442,3050676,119218,211800,2167801,2167801,1551290,616511,5469389,2718477,179870,1403,27,MN,49.78,50.22,67.51,23.35,8.45,1.46,2.19,35.45,14.67,3.19,3612544,118.42,71.56,28.44,49.18221327440705
