B01001_001E,B01001_002E,B01001_026E,B01002_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B19301_001E,B17001_002E,B23025_003E,B23025_005E,B25077_001E,B25002_002E,B25014_001E,B25003_002E,B25003_003E,B18101_001E,B18101_002E,B18101_003E,B18101_004E,state
4799277,2328592,2470685,38.1,3193338,458393,187852,45646,30801,43253,23680,870631,2244093,241930,122500,1838683,1838683,1281604,557079,4716915,2268448,154595,1058,01
720316,375798,344518,33.6,454301,80447,31988,7431,5068,70760,32651,69514,376305,32939,241800,251899,251899,160803,91096,696885,356246,28278,308,02
6479703,3221367,3258336,36.3,4211194,716734,296979,69819,48203,49774,25358,1131901,3038226,316360,165100,2370289,2370289,1527475,842814,6373367,3132045,227713,1252,04
2933369,1439862,1493507,37.5,1936554,257157,93456,23201,15503,40768,22170,547328,1366667,121235,107300,1129723,1129723,753793,375930,2879435,1403511,99867,1444,05
37659181,18726468,18932713,35.4,24455010,4753446,1821325,565907,360357,61094,29527,5885417,18804519,2168665,366400,12542460,12542460,6939104,5603356,37130876,18313932,1291773,9621,06
5119329,2568343,2550986,36.1,3388783,799431,330767,72800,51826,58433,31109,660874,2741518,231741,236200,1977591,1977591,1292645,684946,5025295,2495121,174346,1603,08
908446,439985,468461,38.9,611728,105108,50483,11201,9745,59878,29819,103633,463216,41207,235800,335707,335707,243223,92484,893326,429139,28515,281,10
619371,293104,326267,33.8,430307,97641,74657,36137,16848,65830,45290,109200,354171,38994,445200,263649,263649,111070,152579,608630,285244,18622,140,11
3583561,1745364,1838197,40.2,2443761,498124,283662,70744,38390,69461,37892,354348,1950121,190709,278900,1355849,1355849,919488,436361,3526628,1710131,100869,766,09
19091156,9332589,9758567,41.0,13317503,2253937,854996,265198,141781,46956,26236,3052807,9298664,1096028,160200,7158980,7158980,4806997,2351983,18778532,9095765,549855,4025,12
9810417,4793940,5016477,35.6,6323120,1121880,453219,121272,71463,49179,25182,1736680,4799681,544802,151300,3518097,3518097,2292030,1226067,9610713,4635945,345518,3166,13
1583364,793708,789656,34.9,1000946,172377,54722,13830,9964,46767,22568,240298,763379,67189,162100,579797,579797,404734,175063,1562894,778840,60389,600,16
1376298,691426,684872,38.3,938217,186379,63311,20481,12321,67402,29305,149531,688820,48748,503100,449771,449771,259270,190501,1323796,648430,45817,214,15
12848554,6304099,6544455,36.8,8509739,1657947,739404,180829,97616,56797,29666,1772333,6698936,700616,182300,4772723,4772723,3220038,1552685,12668117,6187083,418841,3577,17
6514861,3206295,3308566,37.1,4258878,632094,258886,55880,40860,48248,24635,969881,3279355,315476,122800,2481793,2481793,1736481,745312,6414808,3142734,218297,1994,18
3062553,1516152,1546401,38.1,2026719,359520,112200,29132,20867,51843,27027,367414,1647943,94913,124300,1226547,1226547,885942,340605,3016863,1492203,100643,551,19
2868107,1425049,1443058,36.0,1850010,363386,143301,32858,20270,51332,26929,382820,1491412,104341,128400,1110440,1110440,749737,360703,2808883,1383654,103053,886,20
4361333,2145986,2215347,38.2,2920579,372738,183161,47346,25428,43036,23462,796202,2059754,201987,120400,1694996,1694996,1159188,535808,4273751,2084657,142943,1453,21
4567968,2234939,2333029,36.0,2977813,433526,144867,45547,26235,44874,24442,846780,2187544,192166,138900,1707852,1707852,1143500,564352,4463986,2154239,158537,1940,22
1328320,649600,678720,43.2,943281,169061,66849,16746,10964,48453,26824,175624,700965,53866,174500,553823,553823,397512,156311,1313789,641294,34427,349,23
5834299,2824531,3009768,38.0,3922827,789022,445990,114423,94483,73538,36354,558329,3186765,260567,292700,2146240,2146240,1450893,695347,5737052,2756347,186697,1630,24
6605058,3197502,3407556,39.2,4510714,1006270,538224,124858,106970,66866,35763,725351,3631277,322730,330100,2530147,2530147,1585259,944888,6524851,3151242,187335,1621,25
9886095,4851302,5034793,39.1,6594586,1049930,486283,106937,67068,48411,25681,1625982,4859417,616469,121700,3823280,3823280,2757062,1066218,9773019,4773417,299402,2758,26
5347740,2655658,2692082,37.6,3562331,781186,263953,73760,42511,59836,30913,598391,2958989,210815,187900,2107232,2107232,1528272,578960,5288893,2621453,179462,1183,27
2976872,1445356,1531516,36.2,1918110,246100,98828,24512,16545,39031,20618,653321,1343584,149148,99900,1088073,1088073,755132,332941,2908862,1393749,105199,797,28
6007182,2941951,3065231,38.0,4002608,655633,282661,66028,42737,47380,25649,900929,3038261,267644,137000,2360131,2360131,1613941,746190,5892726,2867168,195977,1682,29
998554,501549,497005,39.9,677947,133788,40631,12099,7908,46230,25373,148528,514717,37702,184200,405525,405525,276939,128586,982993,491561,31337,195,30
1841625,913478,928147,36.3,1195699,230833,76357,20266,13843,51672,26899,228789,1006226,57525,128000,725787,725787,486533,239254,1812953,896209,66662,360,31
2730066,1377138,1352928,36.6,1816959,268804,94708,28645,13976,52800,26589,403314,1404746,175142,169100,999016,999016,566921,432095,2694751,1348581,93914,1070,32
1319171,651106,668065,41.5,913191,194439,84598,15880,12654,64916,33134,110859,742439,51670,239900,518245,518245,370173,148072,1304372,642853,34923,259,33
8832406,4304817,4527589,39.1,6007746,1336219,585221,144506,85702,71629,36027,900583,4669577,472094,327100,3186418,3186418,2091065,1095353,8723211,4232319,274642,2135,34
2069706,1024290,1045416,36.7,1347229,198521,103824,21783,23542,44927,23763,413801,970934,94111,160000,761938,761938,523344,238594,2035611,997967,72576,720,35
19487053,9442496,10044557,38.1,13211060,2491222,1357039,357336,180903,58003,32382,2903982,9984364,921607,288200,7234743,7234743,3923505,3311238,19231242,9276726,595676,4964,36
9651380,4702565,4948815,37.6,6408022,1154451,420219,96472,76267,46334,25284,1643389,4762407,527430,153600,3715565,3715565,2466388,1249177,9450222,4547790,318125,2916,37
689781,349947,339834,36.4,450429,88476,23474,6122,4470,53741,29732,79433,384229,12617,132400,287270,287270,189805,97465,674657,340506,23219,129,38
11549590,5642666,5906924,39.0,7746520,1227819,521105,122484,77052,48308,26046,1773853,5849339,582953,130800,4557655,4557655,3074792,1482863,11374029,5532977,361311,3296,39
3785742,1873875,1911867,36.2,2464298,387885,135398,33558,21616,45339,24208,618683,1814246,127842,112800,1444081,1444081,968736,475345,3702515,1812411,134150,1644,40
3868721,1914014,1954707,38.7,2643833,494922,201237,52789,36357,50229,26809,614778,1958085,221191,238000,1516456,1516456,940143,576313,3829588,1884406,119711,1767,41
12731381,6211805,6519576,40.3,8712762,1468125,656458,162842,112239,52548,28502,1638820,6496409,581533,164700,4958427,4958427,3462512,1495915,12525314,6077128,370009,3087,42
1051695,508455,543240,39.6,712241,134313,62811,15593,10473,56361,30469,137244,565990,56125,247400,410058,410058,250814,159244,1035516,499344,28621,127,44
