B01001_001E,B01001_002E,B01001_026E,B01002_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B19301_001E,B17001_002E,B23025_003E,B23025_005E,B25077_001E,B25002_002E,B25014_001E,B25003_002E,B25003_003E,B18101_001E,B18101_002E,B18101_003E,B18101_004E,state
4679602,2276305,2403297,38.1,3118029,501193,205214,44061,30814,44779,23943,820308,2261467,258444,137400,1780251,1780251,1230181,550070,4578525,2198566,151303,1083,45
825198,414382,410816,36.9,537888,98423,29152,7536,5623,49495,25740,112086,441241,22250,132400,323136,323136,219872,103264,807439,403245,30434,264,46
6402387,3120796,3281591,38.2,4292718,657028,251451,67515,47554,44298,24409,1101732,3123630,316682,139200,2475195,2475195,1677205,797990,6300636,3049755,205978,1901,47
25639373,12729156,12910217,33.8,16080307,2850532,1030911,243470,161082,51900,26019,4416829,12589173,1020132,128900,8886471,8886471,5623552,3262919,25158370,12356944,987631,9119,48
625904,308544,317360,42.0,433401,91084,42865,9776,7141,54267,29167,70873,347896,23546,216800,257004,257004,182537,74467,619732,305375,16133,227,50
2813673,1414267,1399406,29.6,1610602,327448,112367,26030,21588,58821,23873,350205,1377158,101449,212800,886770,886770,621854,264916,2786143,1394040,133042,917,49
8100653,3977926,4122727,37.5,5427938,1113869,580019,130878,86267,63907,33493,887595,4188480,303129,244600,3022739,3022739,2033102,989637,7881300,3804768,259696,1743,51
6819579,3401539,3418040,37.3,4575140,932008,370861,92112,63021,59478,30742,893211,3476885,327155,262100,2629126,2629126,1661427,967699,6711488,3318024,226020,2517,53
1853619,913201,940418,41.5,1296592,146020,64710,16721,10046,41043,22966,321546,824983,69351,98500,741390,741390,544059,197331,1824020,893977,53213,562,54
5706871,2832906,2873965,38.7,3827815,679310,250094,58613,38711,52413,27523,723730,3079100,239464,167100,2288332,2288332,1558846,729486,5630579,2782775,180000,1591,55
570134,291223,278911,36.8,376529,62047,21918,4776,4167,57406,28902,63743,306583,16760,185900,222846,222846,156202,66644,560397,284426,20403,191,56
3682966,1763291,1919675,37.5,2438932,409750,103812,30030,19486,19624,11068,1644128,1346962,247824,121200,1230868,1230868,862880,367988,3656732,1743325,109527,1421,72
