Total Population,Male Population,Female Population,Median Age,Population 25+ (Total),Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,Median Household Income,Per Capita Income,Individuals Below Poverty,Civilian Labor Force,Unemployed Persons,Median Home Value,Total Housing Units,Occupied Housing Units (Total),Owner-Occupied Housing Units,Renter-Occupied Housing Units,Total Noninstitutionalized Population (16+),Population With Any Disability,Population With Hearing Difficulty,Population With Vision Difficulty,state,state_abbrev,Male (%) of Population,Female (%) of Population,(%) of Population 25+,(%) with Bachelor's Degree,(%) with Master's Degree,(%) with Doctorate Degree,(%) with Professional Degree,Bachelors+ (%),(%) of Population below Poverty,(%) of Unemployed Persons,Employed Persons,Employment Rate,Home Ownership Rate (%),Renting Rate (%),Disability Rate (%)
4799277,2328592,2470685,38.1,3193338,458393,187852,45646,30801,43253,23680,870631,2244093,241930,122500,1838683,1838683,1281604,557079,4716915,2268448,154595,1058,1,AL,48.52,51.48,66.54,14.35,5.88,0.96,1.43,22.63,27.26,7.58,2951408,131.52,69.7,30.3,47.26645284279278
720316,375798,344518,33.6,454301,80447,31988,7431,5068,70760,32651,69514,376305,32939,241800,251899,251899,160803,91096,696885,356246,28278,308,2,AK,52.17,47.83,63.07,17.71,7.04,1.12,1.64,27.5,15.3,7.25,421362,111.97,63.84,36.16,49.4569050250168
6479703,3221367,3258336,36.3,4211194,716734,296979,69819,48203,49774,25358,1131901,3038226,316360,165100,2370289,2370289,1527475,842814,6373367,3132045,227713,1252,4,AZ,49.71,50.29,64.99,17.02,7.05,1.14,1.66,26.87,26.88,7.51,3894834,128.19,64.44,35.56,48.33624318892394
2933369,1439862,1493507,37.5,1936554,257157,93456,23201,15503,40768,22170,547328,1366667,121235,107300,1129723,1129723,753793,375930,2879435,1403511,99867,1444,5,AR,49.09,50.91,66.02,13.28,4.83,0.8,1.2,20.1,28.26,6.26,1815319,132.83,66.72,33.28,47.846384140556474
37659181,18726468,18932713,35.4,24455010,4753446,1821325,565907,360357,61094,29527,5885417,18804519,2168665,366400,12542460,12542460,6939104,5603356,37130876,18313932,1291773,9621,6,CA,49.73,50.27,64.94,19.44,7.45,1.47,2.31,30.67,24.07,8.87,22286345,118.52,55.32,44.68,48.63072301014725
5119329,2568343,2550986,36.1,3388783,799431,330767,72800,51826,58433,31109,660874,2741518,231741,236200,1977591,1977591,1292645,684946,5025295,2495121,174346,1603,8,CO,50.17,49.83,66.2,23.59,9.76,1.53,2.15,37.03,19.5,6.84,3157042,115.16,65.36,34.64,48.73921953443508
908446,439985,468461,38.9,611728,105108,50483,11201,9745,59878,29819,103633,463216,41207,235800,335707,335707,243223,92484,893326,429139,28515,281,10,DE,48.43,51.57,67.34,17.18,8.25,1.59,1.83,28.86,16.94,6.74,570521,123.17,72.45,27.55,47.238801205575236
619371,293104,326267,33.8,430307,97641,74657,36137,16848,65830,45290,109200,354171,38994,445200,263649,263649,111070,152579,608630,285244,18622,140,11,DC,47.32,52.68,69.47,22.69,17.35,3.92,8.4,52.35,25.38,9.06,391313,110.49,42.13,57.87,46.053819116490764
3583561,1745364,1838197,40.2,2443761,498124,283662,70744,38390,69461,37892,354348,1950121,190709,278900,1355849,1355849,919488,436361,3526628,1710131,100869,766,9,CT,48.7,51.3,68.19,20.38,11.61,1.57,2.89,36.46,14.5,7.8,2253052,115.53,67.82,32.18,47.72155406312324
19091156,9332589,9758567,41.0,13317503,2253937,854996,265198,141781,46956,26236,3052807,9298664,1096028,160200,7158980,7158980,4806997,2351983,18778532,9095765,549855,4025,12,FL,48.88,51.12,69.76,16.92,6.42,1.06,1.99,26.4,22.92,8.23,12221475,131.43,67.15,32.85,47.64386713931833
